salario,gasto_mensal,genero,filhos,escolaridade,imovel,empreendedor,perfil
3981,2938,m,4,Fundamental Incompleto,SIM,SIM,Não Investidor
9556,1393,f,3,Pós graduado,SIM,Não,Conservador
2997,2127,n,3,Superior Incompleto,Não,Não,Não Investidor
24112,6874,m,1,Superior Completo,Não,SIM,Agressivo
1402,1133,f,5,Superior Incompleto,Não,Não,Não Investidor
1193,1114,f,5,Superior Incompleto,SIM,SIM,Não Investidor
5651,4305,m,2,Superior Incompleto,Não,SIM,Conservador
23714,5966,n,0,Superior Completo,Não,Não,Agressivo
4622,2595,m,4,Médio Incompleto,Não,Não,Não Investidor
15081,6605,n,0,Pós graduado,SIM,SIM,Agressivo
1786,1079,f,2,Médio Incompleto,Não,Não,Não Investidor
14704,13610,f,3,Médio Completo,SIM,SIM,Conservador
24212,6210,m,0,Superior Completo,SIM,Não,Agressivo
1105,1014,m,5,Fundamental Incompleto,SIM,Não,Não Investidor
11858,5832,m,2,Superior Incompleto,SIM,Não,Moderado
13090,5392,m,3,Fundamental Completo,SIM,SIM,Conservador
15638,14150,m,1,Pós graduado,Não,SIM,Moderado
3292,1068,m,3,Médio Completo,SIM,SIM,Não Investidor
21467,7199,f,2,Superior Completo,Não,Não,Agressivo
7400,5778,f,3,Superior Completo,Não,SIM,Conservador
21912,6642,f,0,Superior Completo,Não,Não,Agressivo
14508,13417,m,1,Pós graduado,SIM,SIM,Moderado
9909,8030,f,1,Superior Incompleto,SIM,Não,Moderado
999,998,m,3,Superior Incompleto,SIM,Não,Não Investidor
19223,8526,m,3,Pós graduado,SIM,SIM,Agressivo
7415,2658,m,3,Pós graduado,SIM,SIM,Conservador
2832,2090,m,4,Fundamental Incompleto,Não,SIM,Não Investidor
5546,2190,m,4,Médio Completo,Não,Não,Conservador
1501,891,m,3,Pós graduado,Não,Não,Conservador
12549,12032,f,0,Pós graduado,Não,Não,Agressivo
2549,1760,f,3,Superior Incompleto,Não,SIM,Não Investidor
17033,7558,f,1,Pós graduado,Não,SIM,Agressivo
20864,9831,m,0,Pós graduado,Não,Não,Agressivo
2406,1439,m,3,Fundamental Incompleto,Não,Não,Não Investidor
3891,3679,f,3,Superior Completo,Não,SIM,Conservador
8387,6992,m,1,Pós graduado,Não,SIM,Moderado
1025,1012,m,5,Fundamental Incompleto,Não,SIM,Não Investidor
9123,2331,f,2,Pós graduado,SIM,SIM,Conservador
16382,10340,f,1,Superior Completo,SIM,SIM,Moderado
13074,9627,m,1,Superior Completo,Não,Não,Moderado
2265,1282,m,4,Fundamental Completo,Não,SIM,Não Investidor
11948,7328,m,2,Superior Incompleto,SIM,Não,Moderado
9941,3309,n,3,Superior Incompleto,Não,SIM,Conservador
20627,6609,m,2,Pós graduado,SIM,SIM,Agressivo
3982,2368,f,2,Pós graduado,Não,Não,Conservador
2374,1347,m,4,Médio Completo,SIM,Não,Não Investidor
3599,3121,f,4,Médio Completo,SIM,SIM,Não Investidor
17669,7338,f,0,Pós graduado,SIM,SIM,Agressivo
9373,8328,m,1,Pós graduado,Não,SIM,Moderado
20887,6472,f,0,Superior Completo,Não,Não,Agressivo
8588,6513,f,2,Superior Incompleto,SIM,Não,Moderado
23776,5562,m,3,Superior Completo,SIM,SIM,Agressivo
9152,5482,m,4,Médio Completo,SIM,Não,Conservador
2777,1212,m,2,Médio Incompleto,Não,Não,Não Investidor
9278,7499,m,1,Superior Completo,Não,Não,Moderado
8014,5739,m,2,Superior Incompleto,SIM,Não,Conservador
18048,5968,m,3,Pós graduado,SIM,Não,Agressivo
18517,9116,n,3,Superior Completo,SIM,SIM,Agressivo
4264,1584,f,5,Superior Incompleto,Não,Não,Não Investidor
1544,1194,m,4,Superior Incompleto,SIM,SIM,Conservador
17984,8747,m,1,Superior Completo,SIM,Não,Agressivo
6015,1314,f,5,Superior Completo,SIM,Não,Conservador
18286,6498,m,3,Superior Completo,SIM,Não,Agressivo
6515,2336,m,2,Pós graduado,Não,SIM,Conservador
4177,4169,m,5,Fundamental Completo,SIM,SIM,Não Investidor
16178,3045,m,3,Fundamental Completo,SIM,Não,Agressivo
16938,8085,n,1,Pós graduado,SIM,Não,Moderado
8150,6142,f,3,Superior Completo,Não,Não,Conservador
8242,6478,f,1,Pós graduado,Não,Não,Moderado
2325,841,m,4,Pós graduado,Não,Não,Conservador
1576,982,f,5,Médio Completo,Não,Não,Conservador
1375,1150,m,5,Superior Completo,SIM,SIM,Conservador
9687,8818,f,1,Pós graduado,SIM,SIM,Moderado
15114,8081,f,3,Superior Completo,SIM,SIM,Agressivo
18295,17661,m,4,Fundamental Completo,Não,SIM,Conservador
12018,9861,m,2,Superior Incompleto,SIM,SIM,Moderado
4758,4305,m,4,Médio Incompleto,Não,Não,Não Investidor
1873,1590,m,3,Fundamental Incompleto,SIM,SIM,Não Investidor
16087,8509,n,1,Pós graduado,Não,Não,Moderado
1210,1203,f,4,Fundamental Completo,SIM,SIM,Não Investidor
3859,3011,m,5,Médio Incompleto,SIM,SIM,Não Investidor
1034,1005,m,5,Fundamental Completo,SIM,SIM,Não Investidor
4470,1666,m,3,Médio Incompleto,SIM,Não,Não Investidor
24901,5756,m,3,Superior Completo,Não,SIM,Agressivo
22567,8944,m,1,Pós graduado,SIM,Não,Agressivo
8409,6318,m,2,Superior Incompleto,Não,SIM,Moderado
22813,5649,f,2,Superior Completo,Não,Não,Agressivo
1487,1450,m,2,Superior Incompleto,Não,SIM,Conservador
3724,1796,f,4,Fundamental Completo,SIM,Não,Não Investidor
4462,1890,f,4,Médio Incompleto,Não,Não,Não Investidor
16551,9934,f,1,Pós graduado,Não,Não,Agressivo
17487,7310,n,3,Pós graduado,Não,Não,Agressivo
11800,10694,m,1,Superior Completo,Não,SIM,Moderado
24464,5962,f,1,Superior Completo,SIM,Não,Agressivo
13409,7480,f,1,Superior Completo,Não,Não,Moderado
9672,2969,f,5,Médio Completo,SIM,Não,Conservador
16137,6262,f,0,Superior Completo,SIM,SIM,Agressivo
9922,7946,m,3,Superior Incompleto,SIM,SIM,Conservador
14586,7534,f,2,Superior Completo,SIM,SIM,Moderado
15369,9504,m,0,Superior Completo,Não,Não,Agressivo
3501,1865,f,3,Pós graduado,SIM,Não,Conservador
22085,8385,m,0,Superior Completo,SIM,Não,Agressivo
8012,7245,f,1,Superior Completo,Não,SIM,Moderado
6903,5865,m,3,Superior Incompleto,SIM,SIM,Conservador
18674,8695,f,0,Superior Completo,Não,Não,Agressivo
17616,9896,f,1,Superior Completo,SIM,SIM,Agressivo
20363,7023,m,2,Superior Completo,Não,SIM,Agressivo
2863,1245,m,2,Superior Incompleto,Não,Não,Não Investidor
1992,1584,m,2,Médio Incompleto,SIM,Não,Não Investidor
16516,16038,f,2,Pós graduado,Não,SIM,Moderado
14137,8172,m,2,Superior Incompleto,Não,SIM,Moderado
8534,7870,f,1,Superior Incompleto,SIM,SIM,Moderado
3056,1359,n,2,Superior Incompleto,SIM,Não,Conservador
14638,11917,f,1,Superior Completo,SIM,SIM,Moderado
3381,1197,f,4,Fundamental Completo,Não,Não,Não Investidor
13733,6242,f,2,Pós graduado,Não,Não,Moderado
8257,6115,f,2,Superior Incompleto,SIM,SIM,Moderado
1105,817,m,3,Superior Incompleto,SIM,SIM,Conservador
21006,7699,m,3,Pós graduado,SIM,SIM,Agressivo
4758,2907,m,4,Pós graduado,SIM,SIM,Conservador
3652,1258,m,4,Superior Incompleto,Não,SIM,Conservador
4305,2739,m,2,Pós graduado,SIM,Não,Conservador
23038,9150,f,1,Pós graduado,SIM,SIM,Agressivo
22240,7929,m,3,Superior Completo,SIM,SIM,Agressivo
3892,1403,m,3,Superior Incompleto,SIM,Não,Conservador
13284,11911,m,2,Pós graduado,SIM,SIM,Moderado
4446,1137,f,2,Médio Incompleto,SIM,Não,Não Investidor
2672,2235,m,2,Superior Incompleto,Não,SIM,Não Investidor
11952,5516,m,5,Médio Completo,SIM,SIM,Não Investidor
13042,11268,m,2,Superior Incompleto,Não,Não,Moderado
4207,2540,m,2,Médio Incompleto,SIM,SIM,Não Investidor
1940,1235,f,3,Pós graduado,SIM,Não,Conservador
2016,1726,m,5,Médio Incompleto,SIM,Não,Não Investidor
24137,7315,n,2,Pós graduado,SIM,Não,Agressivo
4729,4374,m,4,Superior Incompleto,Não,Não,Conservador
21826,8704,f,3,Pós graduado,Não,Não,Agressivo
8389,4485,m,2,Superior Completo,Não,Não,Conservador
10832,9786,m,2,Pós graduado,Não,Não,Moderado
24343,9563,f,0,Superior Completo,SIM,SIM,Agressivo
8749,2873,f,3,Médio Completo,SIM,Não,Conservador
15230,5679,n,1,Pós graduado,Não,Não,Agressivo
23578,22652,n,1,Superior Completo,Não,Não,Não Investidor
22319,9732,n,2,Superior Completo,Não,SIM,Agressivo
15059,12896,n,2,Superior Completo,Não,Não,Moderado
2633,1736,m,3,Médio Incompleto,SIM,SIM,Não Investidor
6395,4469,m,5,Pós graduado,Não,Não,Conservador
2688,1404,f,4,Superior Completo,Não,Não,Conservador
6566,4216,n,4,Superior Completo,Não,Não,Conservador
1105,876,f,3,Médio Completo,Não,SIM,Conservador
1115,1071,m,3,Médio Incompleto,Não,SIM,Não Investidor
19062,7377,f,1,Pós graduado,SIM,Não,Agressivo
8365,3922,f,4,Superior Completo,SIM,SIM,Conservador
16890,13359,m,2,Superior Incompleto,Não,SIM,Moderado
7565,3515,m,4,Pós graduado,SIM,Não,Conservador
2640,1087,m,2,Superior Incompleto,Não,Não,Não Investidor
7348,6316,m,3,Pós graduado,SIM,Não,Conservador
8133,6610,f,1,Pós graduado,SIM,SIM,Moderado
2819,1114,f,2,Médio Completo,SIM,Não,Não Investidor
15612,7812,m,1,Superior Completo,SIM,Não,Agressivo
16016,7376,f,2,Pós graduado,SIM,SIM,Moderado
1332,1250,m,3,Superior Incompleto,SIM,Não,Não Investidor
23180,23079,f,3,Fundamental Incompleto,SIM,Não,Não Investidor
3328,1048,m,4,Médio Incompleto,Não,SIM,Não Investidor
2148,1187,m,2,Médio Incompleto,Não,SIM,Não Investidor
1484,961,m,5,Superior Completo,SIM,SIM,Conservador
1709,1397,m,3,Médio Completo,SIM,SIM,Não Investidor
10308,9251,f,2,Superior Completo,SIM,SIM,Moderado
9198,6571,m,2,Superior Incompleto,SIM,SIM,Moderado
15988,8797,f,0,Superior Completo,Não,SIM,Agressivo
3435,2953,m,4,Fundamental Completo,Não,SIM,Não Investidor
10400,6170,m,1,Pós graduado,SIM,Não,Moderado
2971,2792,f,3,Pós graduado,SIM,Não,Conservador
1560,958,m,5,Pós graduado,Não,SIM,Conservador
1108,966,m,4,Pós graduado,Não,SIM,Conservador
7743,5814,m,4,Superior Incompleto,SIM,Não,Conservador
3318,1193,m,3,Médio Completo,SIM,SIM,Não Investidor
6447,1924,f,1,Fundamental Incompleto,SIM,Não,Conservador
15854,11969,f,2,Superior Incompleto,SIM,SIM,Moderado
3224,1429,m,4,Médio Incompleto,Não,SIM,Não Investidor
14155,11242,m,2,Superior Completo,SIM,SIM,Moderado
9955,6810,m,2,Pós graduado,Não,Não,Conservador
14755,9105,m,2,Superior Incompleto,SIM,SIM,Moderado
2607,2340,f,3,Médio Incompleto,Não,SIM,Não Investidor
9617,1594,m,2,Médio Completo,Não,Não,Conservador
4241,3428,m,4,Médio Incompleto,SIM,Não,Não Investidor
1945,1554,f,4,Médio Completo,Não,SIM,Não Investidor
3064,1623,n,2,Fundamental Completo,Não,Não,Não Investidor
22061,6415,f,5,Pós graduado,SIM,SIM,Agressivo
4473,2590,f,2,Fundamental Completo,Não,SIM,Não Investidor
15562,14478,n,1,Superior Incompleto,SIM,SIM,Moderado
16303,6381,m,1,Superior Completo,Não,Não,Agressivo
20437,9493,m,0,Superior Completo,Não,Não,Agressivo
16207,2838,f,3,Médio Incompleto,SIM,Não,Moderado
8263,7335,m,1,Superior Completo,SIM,SIM,Moderado
20781,8962,n,3,Pós graduado,Não,Não,Agressivo
6048,2251,m,3,Superior Completo,Não,SIM,Conservador
2826,2513,n,5,Médio Incompleto,Não,SIM,Não Investidor
12938,10939,f,2,Pós graduado,Não,SIM,Moderado
11965,5334,m,1,Superior Incompleto,Não,SIM,Moderado
15429,14710,f,1,Superior Incompleto,SIM,SIM,Moderado
22396,9244,m,3,Superior Completo,Não,SIM,Agressivo
24209,24012,n,3,Médio Completo,SIM,Não,Moderado
14456,13998,n,1,Pós graduado,SIM,Não,Moderado
12848,5752,m,1,Pós graduado,SIM,Não,Moderado
9577,8181,m,3,Superior Incompleto,SIM,SIM,Conservador
8389,6828,f,1,Superior Incompleto,SIM,Não,Moderado
14639,10293,m,2,Superior Incompleto,SIM,Não,Moderado
3855,2612,f,3,Fundamental Completo,SIM,SIM,Não Investidor
9736,2753,f,3,Pós graduado,Não,Não,Não Investidor
12554,2293,f,1,Superior Incompleto,Não,SIM,Agressivo
12187,7246,n,2,Pós graduado,SIM,Não,Moderado
20338,6852,f,0,Pós graduado,Não,Não,Agressivo
3872,2976,m,4,Médio Incompleto,Não,SIM,Não Investidor
1343,1231,m,4,Médio Completo,Não,SIM,Conservador
3049,1546,n,3,Fundamental Incompleto,Não,Não,Não Investidor
8220,5359,f,1,Superior Completo,SIM,Não,Moderado
22142,5424,m,1,Pós graduado,SIM,Não,Agressivo
11520,7063,m,1,Superior Incompleto,SIM,SIM,Moderado
2403,1410,m,5,Médio Completo,SIM,Não,Não Investidor
6574,5750,m,2,Superior Incompleto,SIM,SIM,Conservador
24087,5094,f,0,Pós graduado,Não,SIM,Agressivo
11329,9667,f,1,Superior Incompleto,SIM,SIM,Moderado
9597,9008,m,1,Superior Incompleto,SIM,SIM,Moderado
9717,2323,m,5,Superior Incompleto,Não,SIM,Conservador
16834,13065,m,2,Superior Incompleto,SIM,Não,Moderado
2491,1104,m,3,Fundamental Incompleto,Não,Não,Não Investidor
15920,13764,m,1,Superior Incompleto,Não,SIM,Moderado
22237,6497,m,2,Superior Completo,SIM,Não,Agressivo
1427,1338,m,5,Pós graduado,SIM,SIM,Conservador
17075,7756,m,1,Superior Completo,SIM,Não,Agressivo
2849,1001,m,4,Superior Incompleto,SIM,Não,Conservador
7910,2471,f,2,Pós graduado,SIM,SIM,Conservador
19200,5484,f,0,Pós graduado,SIM,SIM,Agressivo
9414,8730,m,1,Superior Incompleto,Não,Não,Moderado
2571,1963,f,5,Médio Completo,Não,Não,Não Investidor
12492,11731,m,1,Superior Incompleto,Não,SIM,Moderado
1571,903,m,3,Médio Completo,SIM,Não,Conservador
20326,7538,f,1,Superior Completo,SIM,Não,Agressivo
20798,8727,m,0,Pós graduado,SIM,SIM,Agressivo
4944,1622,f,4,Superior Incompleto,SIM,SIM,Não Investidor
4286,3276,m,2,Superior Incompleto,Não,Não,Não Investidor
15015,6367,f,2,Superior Completo,SIM,Não,Agressivo
4035,2279,m,2,Superior Incompleto,SIM,Não,Não Investidor
4021,1738,n,2,Pós graduado,Não,Não,Conservador
14086,5825,m,1,Superior Completo,Não,SIM,Moderado
15971,14500,m,2,Superior Completo,SIM,SIM,Moderado
15382,8102,f,1,Pós graduado,SIM,SIM,Agressivo
4880,3463,m,4,Fundamental Incompleto,Não,Não,Não Investidor
2150,1244,m,5,Médio Incompleto,Não,SIM,Não Investidor
19064,8249,f,0,Pós graduado,SIM,Não,Agressivo
3839,2922,f,5,Pós graduado,Não,SIM,Conservador
5682,1773,f,2,Pós graduado,Não,SIM,Conservador
12457,10287,f,1,Pós graduado,SIM,Não,Moderado
14877,7150,m,1,Pós graduado,Não,SIM,Moderado
3750,1427,n,3,Médio Completo,SIM,Não,Não Investidor
3581,1991,m,2,Fundamental Incompleto,Não,SIM,Não Investidor
9877,3399,m,2,Médio Completo,Não,Não,Conservador
3820,2600,f,5,Superior Incompleto,Não,Não,Não Investidor
1246,1095,m,3,Superior Completo,SIM,Não,Conservador
7208,6090,m,3,Superior Incompleto,Não,Não,Conservador
4988,1314,m,5,Médio Incompleto,Não,SIM,Não Investidor
3392,1112,f,3,Médio Incompleto,Não,SIM,Não Investidor
21281,5857,m,1,Pós graduado,SIM,Não,Agressivo
16770,9584,m,0,Superior Completo,SIM,Não,Agressivo
23005,9279,m,1,Pós graduado,Não,Não,Agressivo
4690,1877,f,4,Superior Completo,Não,Não,Conservador
2124,1957,f,3,Médio Completo,SIM,SIM,Não Investidor
20566,8479,m,0,Superior Completo,SIM,SIM,Agressivo
8699,1318,f,3,Superior Incompleto,Não,Não,Conservador
1102,1045,m,5,Superior Incompleto,SIM,SIM,Não Investidor
24266,9740,n,1,Pós graduado,Não,Não,Agressivo
4028,1819,f,5,Médio Incompleto,SIM,SIM,Não Investidor
12065,11406,m,2,Superior Incompleto,Não,Não,Moderado
2318,2124,f,5,Médio Incompleto,SIM,Não,Não Investidor
4665,3554,n,3,Médio Completo,SIM,Não,Conservador
2883,1628,m,5,Médio Completo,SIM,SIM,Não Investidor
18217,5966,n,2,Superior Completo,Não,SIM,Agressivo
9910,6846,f,1,Superior Completo,SIM,SIM,Moderado
1958,1030,m,3,Médio Incompleto,SIM,SIM,Não Investidor
15240,13233,m,1,Superior Completo,SIM,SIM,Moderado
20585,8987,m,2,Superior Completo,SIM,Não,Agressivo
6175,4046,n,2,Superior Incompleto,Não,SIM,Conservador
10600,9889,m,2,Superior Incompleto,SIM,Não,Moderado
16096,5461,f,3,Superior Completo,SIM,SIM,Agressivo
2959,2158,f,5,Superior Completo,SIM,Não,Conservador
1458,1062,m,3,Fundamental Completo,Não,SIM,Não Investidor
16993,9830,f,0,Superior Completo,Não,SIM,Agressivo
4808,2315,f,1,Fundamental Completo,SIM,SIM,Conservador
3757,1152,m,3,Fundamental Incompleto,SIM,SIM,Não Investidor
15975,5052,f,1,Superior Completo,SIM,Não,Moderado
1285,880,m,3,Superior Completo,SIM,SIM,Conservador
13560,7880,m,1,Superior Completo,SIM,Não,Moderado
4441,4355,m,5,Médio Completo,Não,Não,Não Investidor
11416,9242,m,1,Superior Incompleto,SIM,SIM,Moderado
4655,1386,m,3,Médio Completo,Não,SIM,Não Investidor
17543,15584,f,5,Fundamental Completo,Não,Não,Agressivo
18669,9136,f,1,Superior Completo,SIM,Não,Agressivo
2468,2299,m,5,Superior Incompleto,SIM,SIM,Conservador
22742,6534,n,2,Pós graduado,SIM,Não,Agressivo
1102,1070,m,5,Fundamental Incompleto,Não,SIM,Não Investidor
23427,9122,f,1,Superior Completo,SIM,SIM,Agressivo
13489,5896,m,2,Superior Incompleto,Não,SIM,Moderado
19382,8928,f,2,Pós graduado,SIM,Não,Agressivo
22638,15646,m,4,Pós graduado,Não,SIM,Conservador
2105,1402,f,5,Médio Incompleto,SIM,Não,Não Investidor
15714,14929,m,1,Superior Completo,Não,SIM,Moderado
4959,2389,f,2,Superior Incompleto,SIM,Não,Não Investidor
22480,9875,m,2,Superior Completo,Não,SIM,Agressivo
10446,9741,m,2,Superior Completo,Não,SIM,Moderado
2873,1354,m,2,Médio Completo,Não,Não,Não Investidor
3265,2985,f,2,Médio Incompleto,Não,Não,Não Investidor
19875,7711,f,0,Pós graduado,SIM,SIM,Agressivo
5482,3003,f,2,Pós graduado,Não,SIM,Conservador
12218,8051,m,1,Superior Completo,Não,SIM,Moderado
19853,9161,m,0,Pós graduado,SIM,Não,Agressivo
9595,3557,f,2,Fundamental Incompleto,SIM,SIM,Agressivo
2372,2310,m,2,Pós graduado,SIM,Não,Conservador
4235,1003,f,5,Superior Incompleto,Não,Não,Não Investidor
10090,8129,f,2,Superior Incompleto,Não,Não,Moderado
15268,7386,m,1,Superior Incompleto,Não,Não,Moderado
1183,1029,f,5,Médio Completo,Não,SIM,Não Investidor
19850,16922,m,2,Fundamental Completo,Não,Não,Agressivo
8310,7200,f,2,Superior Incompleto,SIM,SIM,Moderado
24095,7779,f,1,Pós graduado,SIM,Não,Agressivo
21204,7151,f,2,Superior Completo,SIM,Não,Agressivo
20104,5328,m,0,Pós graduado,SIM,Não,Agressivo
21122,9045,f,2,Superior Completo,Não,SIM,Agressivo
3529,1295,f,2,Médio Completo,Não,Não,Conservador
5779,1787,f,2,Superior Incompleto,Não,SIM,Conservador
8099,5417,m,1,Pós graduado,Não,SIM,Moderado
4388,2458,m,3,Superior Completo,Não,SIM,Conservador
4940,4786,f,4,Fundamental Completo,SIM,SIM,Não Investidor
2324,1726,m,4,Médio Incompleto,Não,SIM,Não Investidor
3969,3111,m,4,Fundamental Incompleto,Não,Não,Não Investidor
21204,12672,m,2,Médio Incompleto,SIM,Não,Agressivo
13727,9496,m,2,Superior Incompleto,SIM,SIM,Moderado
9087,8660,n,2,Superior Incompleto,SIM,SIM,Moderado
9978,9292,m,1,Superior Incompleto,SIM,Não,Moderado
8650,6561,m,2,Superior Incompleto,Não,Não,Moderado
2303,1063,m,5,Médio Completo,Não,SIM,Não Investidor
9680,7400,f,2,Superior Completo,Não,Não,Moderado
15496,10864,f,2,Superior Completo,Não,SIM,Moderado
4981,1578,n,5,Pós graduado,SIM,Não,Conservador
18269,5476,f,3,Superior Completo,SIM,SIM,Agressivo
13529,6894,m,1,Pós graduado,Não,SIM,Agressivo
16121,5980,f,1,Pós graduado,SIM,Não,Agressivo
9650,8123,f,1,Superior Completo,SIM,SIM,Moderado
23990,10667,m,1,Pós graduado,SIM,SIM,Agressivo
8463,2509,f,5,Médio Completo,Não,Não,Conservador
4591,1574,m,5,Fundamental Incompleto,SIM,Não,Não Investidor
9736,6104,n,5,Pós graduado,SIM,SIM,Conservador
15295,7714,f,2,Pós graduado,SIM,Não,Moderado
4146,3005,f,5,Fundamental Completo,SIM,Não,Não Investidor
5278,4058,n,4,Superior Completo,SIM,Não,Conservador
11741,11601,m,2,Superior Completo,Não,Não,Moderado
23288,8223,n,3,Pós graduado,SIM,SIM,Agressivo
22889,6638,m,3,Superior Completo,Não,SIM,Agressivo
2518,1250,f,5,Médio Completo,SIM,Não,Não Investidor
4509,3954,m,4,Médio Completo,Não,Não,Não Investidor
14336,8559,f,1,Pós graduado,Não,SIM,Moderado
1919,1677,n,4,Superior Completo,Não,Não,Conservador
8329,4961,f,5,Superior Completo,SIM,SIM,Não Investidor
22670,8951,n,0,Superior Incompleto,Não,Não,Não Investidor
2405,1315,f,2,Médio Completo,Não,SIM,Não Investidor
24208,4161,m,0,Médio Incompleto,SIM,SIM,Moderado
13784,12287,m,2,Superior Incompleto,SIM,Não,Moderado
1261,1131,m,2,Fundamental Completo,Não,Não,Não Investidor
5530,5340,n,2,Médio Completo,Não,Não,Conservador
2210,1307,m,3,Fundamental Incompleto,Não,SIM,Não Investidor
3542,1541,m,2,Pós graduado,SIM,SIM,Conservador
13455,6178,f,2,Superior Completo,SIM,SIM,Moderado
9680,6801,m,2,Pós graduado,Não,SIM,Moderado
15847,14030,m,1,Superior Incompleto,Não,SIM,Moderado
4573,2548,f,5,Fundamental Incompleto,SIM,Não,Não Investidor
2610,2527,f,3,Superior Incompleto,SIM,SIM,Conservador
3109,1127,m,5,Pós graduado,Não,SIM,Conservador
8836,6294,f,3,Superior Incompleto,Não,SIM,Conservador
14858,6461,m,2,Superior Incompleto,Não,SIM,Moderado
4972,3589,n,3,Superior Incompleto,Não,Não,Não Investidor
10455,6678,m,2,Superior Completo,SIM,SIM,Moderado
3961,1435,f,5,Fundamental Incompleto,Não,Não,Não Investidor
2626,1389,n,2,Superior Incompleto,Não,SIM,Não Investidor
1296,1284,m,3,Médio Incompleto,SIM,Não,Não Investidor
16399,5525,f,1,Superior Completo,Não,SIM,Moderado
17428,6301,f,2,Superior Completo,SIM,SIM,Agressivo
3891,1849,f,5,Médio Completo,Não,Não,Não Investidor
14156,13256,m,4,Superior Completo,SIM,SIM,Agressivo
3040,2525,n,4,Médio Incompleto,SIM,Não,Não Investidor
1633,1578,n,5,Fundamental Completo,Não,SIM,Não Investidor
15973,13990,n,2,Superior Completo,SIM,SIM,Moderado
2052,1090,m,5,Fundamental Completo,SIM,SIM,Não Investidor
9629,1748,m,5,Médio Completo,SIM,SIM,Conservador
2429,2362,m,2,Superior Incompleto,SIM,Não,Não Investidor
1074,1059,n,3,Fundamental Incompleto,SIM,SIM,Não Investidor
5105,2873,m,2,Superior Incompleto,Não,Não,Conservador
11007,5454,f,1,Superior Completo,Não,SIM,Moderado
20360,6881,m,0,Pós graduado,Não,SIM,Agressivo
9577,5920,f,2,Superior Incompleto,Não,SIM,Moderado
2065,1297,n,5,Médio Completo,Não,Não,Não Investidor
2713,2246,m,4,Superior Incompleto,SIM,SIM,Não Investidor
24846,5517,f,2,Pós graduado,Não,Não,Agressivo
2789,2084,f,2,Superior Incompleto,SIM,SIM,Não Investidor
19564,5543,m,3,Pós graduado,SIM,SIM,Agressivo
5635,2285,f,3,Fundamental Completo,SIM,Não,Não Investidor
9649,4222,m,3,Pós graduado,SIM,SIM,Conservador
8361,6931,m,1,Superior Incompleto,SIM,SIM,Moderado
9404,5252,m,4,Médio Completo,SIM,SIM,Conservador
9587,8692,f,1,Superior Completo,Não,Não,Moderado
10107,10076,n,2,Pós graduado,SIM,Não,Moderado
5098,3462,n,4,Superior Incompleto,Não,Não,Conservador
2628,1905,m,3,Superior Incompleto,SIM,SIM,Conservador
1539,1460,m,2,Fundamental Completo,Não,Não,Não Investidor
19604,9707,m,2,Superior Completo,Não,Não,Agressivo
4585,2914,m,2,Médio Completo,Não,SIM,Não Investidor
12594,5019,m,1,Pós graduado,Não,SIM,Moderado
21110,8104,f,0,Superior Completo,SIM,SIM,Agressivo
4515,2666,m,4,Médio Completo,Não,SIM,Conservador
8358,6484,m,3,Médio Completo,SIM,SIM,Conservador
22470,9814,n,3,Pós graduado,Não,SIM,Agressivo
2175,1239,m,3,Médio Incompleto,Não,Não,Não Investidor
1924,1092,m,2,Superior Completo,Não,Não,Conservador
18528,6664,f,3,Pós graduado,Não,Não,Agressivo
3823,2016,m,5,Fundamental Incompleto,SIM,Não,Não Investidor
1062,1005,m,2,Médio Completo,SIM,SIM,Não Investidor
9701,7185,f,1,Pós graduado,Não,SIM,Moderado
9743,7008,m,1,Superior Incompleto,Não,Não,Moderado
3757,3434,m,4,Médio Completo,SIM,SIM,Não Investidor
1940,1491,m,5,Superior Incompleto,SIM,Não,Não Investidor
1697,1596,f,2,Fundamental Completo,Não,SIM,Não Investidor
23537,5007,m,3,Superior Completo,SIM,SIM,Agressivo
3917,3386,m,3,Fundamental Incompleto,Não,Não,Não Investidor
19197,7688,m,0,Superior Completo,SIM,SIM,Agressivo
2242,1372,m,5,Fundamental Completo,Não,Não,Não Investidor
14937,8554,m,1,Superior Incompleto,Não,SIM,Moderado
5580,3223,m,2,Superior Incompleto,SIM,Não,Conservador
13920,10066,f,1,Pós graduado,Não,Não,Moderado
2055,1345,f,5,Superior Incompleto,Não,SIM,Não Investidor
4995,1739,m,2,Médio Completo,Não,SIM,Não Investidor
11499,11483,f,1,Superior Completo,Não,Não,Moderado
15341,10989,f,1,Pós graduado,SIM,SIM,Moderado
15119,7783,f,2,Superior Completo,SIM,SIM,Moderado
3398,3268,m,4,Médio Completo,Não,SIM,Conservador
2103,1776,m,4,Médio Completo,Não,SIM,Não Investidor
12026,8559,n,1,Superior Incompleto,Não,Não,Moderado
22940,9959,m,1,Pós graduado,SIM,SIM,Agressivo
15634,5028,f,2,Superior Incompleto,SIM,SIM,Moderado
15028,9476,f,2,Superior Completo,SIM,Não,Moderado
11706,9007,m,1,Pós graduado,SIM,SIM,Moderado
16718,5966,m,1,Superior Incompleto,SIM,Não,Moderado
11803,10662,m,1,Superior Completo,SIM,SIM,Moderado
12229,6595,m,2,Pós graduado,Não,Não,Moderado
1747,1506,m,5,Superior Incompleto,Não,Não,Não Investidor
15021,9013,f,1,Pós graduado,SIM,Não,Agressivo
17985,6795,n,2,Pós graduado,Não,Não,Agressivo
